pedido_id,fecha,hora,dia_semana,producto_id,producto,cantidad,precio,total
1,2026-09-01,22:08:01,martes,6,"CAUSA DE PULPA DE CANGREJO",1,30.00,30.00
1,2026-09-01,22:08:01,martes,10,"CEVICHE DE PESCADO",1,32.00,32.00
2,2026-09-01,23:32:23,martes,6,"CAUSA DE PULPA DE CANGREJO",1,30.00,30.00
2,2026-09-01,23:32:23,martes,32,"DÚO FRITO",1,34.00,34.00
2,2026-09-01,23:32:23,martes,11,"CEVICHE MIXTO",1,35.00,35.00
2,2026-09-01,23:32:23,martes,10,"CEVICHE DE PESCADO",1,32.00,32.00
3,2026-09-01,23:43:20,martes,6,"CAUSA DE PULPA DE CANGREJO",1,30.00,30.00
3,2026-09-01,23:43:20,martes,7,"CAUSA DE LANGOSTINOS",1,28.00,28.00
4,2026-09-01,23:49:24,martes,19,"CHICHARRÓN DE PESCADO",1,32.00,32.00
5,2026-09-01,23:50:04,martes,9,"CEVICHE EL CAPITÁN",1,45.00,45.00
6,2026-09-02,00:10:36,miercoles,10,"CEVICHE DE PESCADO",1,32.00,32.00
7,2026-09-02,00:11:43,miercoles,11,"CEVICHE MIXTO",1,35.00,35.00
8,2026-09-02,00:23:32,miercoles,13,"CEVICHE CON ESQUINA",1,35.00,35.00
10,2026-09-02,03:08:34,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
11,2026-09-02,03:17:48,miercoles,3,"CHORITOS A LA CHALACA (10 unid.)",2,28.00,56.00
12,2026-09-02,03:27:23,miercoles,4,"LECHE DE TIGRE",1,18.00,18.00
13,2026-09-02,03:45:23,miercoles,5,"LECHE DE TIGRE EL CAPITÁN",1,25.00,25.00
14,2026-09-02,04:03:43,miercoles,7,"CAUSA DE LANGOSTINOS",2,28.00,56.00
15,2026-09-02,04:37:08,miercoles,8,"CAUSA ACEVICHADA",3,27.00,81.00
16,2026-09-02,04:40:56,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
17,2026-09-02,04:43:55,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
18,2026-09-02,04:45:54,miercoles,10,"CEVICHE DE PESCADO",1,32.00,32.00
19,2026-09-02,04:46:29,miercoles,10,"CEVICHE DE PESCADO",2,32.00,64.00
20,2026-09-02,11:20:29,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
20,2026-09-02,11:20:29,miercoles,12,"CEVICHE DE PULPO",1,43.00,43.00
21,2026-09-02,11:22:03,miercoles,5,"LECHE DE TIGRE EL CAPITÁN",1,25.00,25.00
21,2026-09-02,11:22:03,miercoles,4,"LECHE DE TIGRE",1,18.00,18.00
22,2026-09-02,11:25:43,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
23,2026-09-02,12:01:54,miercoles,23,"ARROZ CON MARISCOS",1,32.00,32.00
23,2026-09-02,12:01:54,miercoles,24,"ARROZ CON LANGOSTINOS",1,35.00,35.00
24,2026-09-02,12:03:39,miercoles,7,"CAUSA DE LANGOSTINOS",3,28.00,84.00
25,2026-09-02,14:35:49,miercoles,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
26,2026-09-02,14:38:03,miercoles,8,"CAUSA ACEVICHADA",1,27.00,27.00
27,2026-09-02,14:54:13,miercoles,4,"LECHE DE TIGRE",1,18.00,18.00
28,2026-09-05,13:08:13,sabado,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
29,2026-09-05,13:09:39,sabado,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
29,2026-09-05,13:09:39,sabado,4,"LECHE DE TIGRE",1,18.00,18.00
29,2026-09-05,13:09:39,sabado,6,"CAUSA DE PULPA DE CANGREJO",1,30.00,30.00
30,2026-09-05,18:00:37,sabado,43,MARACUYA,2,18.00,36.00
31,2026-09-05,18:10:49,sabado,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
32,2026-09-05,19:33:55,sabado,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
33,2026-09-05,19:34:57,sabado,8,"CAUSA ACEVICHADA",1,27.00,27.00
34,2026-09-05,20:12:33,sabado,7,"CAUSA DE LANGOSTINOS",1,28.00,28.00
34,2026-09-05,20:12:33,sabado,46,"AGUA SAN MATEO",1,3.00,3.00
43,2026-09-05,22:29:31,sabado,42,"CHICHA MORADA",1,18.00,18.00
45,2026-09-05,22:35:33,sabado,42,"CHICHA MORADA",3,18.00,54.00
46,2026-09-05,22:35:55,sabado,8,"CAUSA ACEVICHADA",1,27.00,27.00
47,2026-09-05,22:42:10,sabado,45,"GASEOSA 600ml",1,5.00,5.00
49,2026-09-05,23:04:14,sabado,8,"CAUSA ACEVICHADA",1,27.00,27.00
35,2026-09-06,01:31:42,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
35,2026-09-06,01:31:42,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
36,2026-09-06,01:32:40,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
36,2026-09-06,01:32:40,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
37,2026-09-06,01:39:53,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
37,2026-09-06,01:39:53,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
38,2026-09-06,01:41:11,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
38,2026-09-06,01:41:11,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
39,2026-09-06,01:51:29,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
39,2026-09-06,01:51:29,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
40,2026-09-06,01:52:19,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
40,2026-09-06,01:52:19,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
41,2026-09-06,01:53:05,domingo,3,"CHORITOS A LA CHALACA (10 unid.)",1,28.00,28.00
41,2026-09-06,01:53:05,domingo,4,"LECHE DE TIGRE",1,18.00,18.00
